prefix,suffix
".'


He noticed she was blushing. 'What does she want?'


'Nothing,' she said. 'It's fine.'


'Well, what does she say?' Tony knew that he was being rude, but it was costing him considerable self-restraint not to reach over the table and rip the phone out of her hand.


'Just Birnam Wood stuff,' Shelley said, still not looking at him. 'She's heading out of town. New planting site, maybe.'


'Where?'


She didn't answer him at once: she seemed to be battling with something, perhaps deciding how, or whether, to respond to Mira's messages. Eventually, reluctantly, she shut off the screen and put the phone back in her pocket.


'Did you hear about that landslide?' she said. 'On the Korowai Pass?'




*




47
Mira's first thought, on coming home to the empty flat, had been that Shelley had finally done it: packed up all her things and left, without warning, and without","a note. After calling Shelley's name and hearing no reply, she had stood in the open doorway for several seconds, reconciling herself to the new though long-expected reality of Shelley being gone – before her vision clarified and she saw that Shelley's bike was still in the laundry, and her shoes were still piled beneath the radiator, and her beloved bomber jacket was still hanging on its coat hook in the hall. Feeling foolish, Mira hastily revised her thought to wonder, instead, if some sudden emergency had taken"
"the fact – never openly acknowledged – that deep down, she preferred the company of men. Her favoured style of conversation was impassioned argument that bordered on seduction, and although it was distasteful, not to mention tactically unwise, to admit that one enjoyed flirtation, she never felt freer, or funnier, or more imaginatively potent than when she was the only woman in the room. If ever this preference were to be pointed out to her, Mira knew that she would stridently deny it. She felt that it exposed a defect in her character – disloyalty to her own sex, first of all, but deeper than that, a vanity, an appetite, a capacity for manipulation that she would rather other people did not see; she knew, and was ashamed to know, that one of the reasons she had never taken Shelley's friendship all that seriously was that it lacked any sense of sexual possibility or contest. There was no danger between them, nothing fearsome or uncertain, no provocation, no romance; with Shelley, she always knew that she was safe.


Except she wasn't, because she had","treated Shelley badly, and now Shelley wanted out – and Mira found herself, as she had with her parents' separation, in a situation where her most cherished and most practised social skills were simply of no use. Debate was worthless, the exercise of charm beside the point; and having committed, long ago, to the performance of a mature and self-sufficient rationality, she now found herself without either the language or the power to express how deeply she was grieving. She wished more than anything that she could reverse her course, convey more gratitude and sympathy, show more interest in Sh"
"


Ordinarily, if she were planning a trip as far afield as Thorndike, she would ask around at Birnam Wood to see if anyone might be heading in the same general direction. She had inherited from Rufus a 1994 Nissan Vanette that routinely failed its warrant and was always breaking down; its fuel efficiency was poor, especially on the open road, and if she shared the journey even part of the way then she could ask for ten or twenty dollars towards the cost of petrol. But thinking about Shelley had left her in a nettled, agitated mood, and she couldn't bear the thought of explaining her intention for the journey, let alone of running the risk that someone might volunteer to join her all the way; and so, to foreclose the possibility completely, she packed the footwell of the passenger seat with her duffel bag and camping gear and buckled a stack of seed trays on to the seat. The Vanette comfortably slept two – she and Shelley raised occasional income by decamping to somebody's driveway and renting out their flat short-term – but whenever Mira","was scoping out a site for Birnam Wood she preferred to park it somewhere inconspicuous and sleep outdoors, alternating between her two tents, one yellow and one navy blue, and never staying anywhere longer than a night. The van had the disadvantage of a licence plate – though it had never yet been reported; at least, not as far as she knew. 
56


She loaded fast, dreading the thought of Shelley coming home and intercepting her: tools, tarpaulins, silicone buckets for conveying water, fert"
"made coffee on her little butane stove, she took out her bicycle, loaded the panniers with a day's supply of food and water, and locked the van – first closing the calico curtains and leaving a tramper's guidebook on the dashboard in plain view. Half a dozen walking tracks led from the car park up into the ranges and around the lake, giving a ready explanation – in the unlikely event of an inspection – for where the van's driver might have gone. There was no charge for parking, though welded to the guide board was an honesty box for camp fees that Mira pretended not to see. She zipped into her jacket the plastic wallet she had taken from her mother's flat, clipped on her helmet, and adjusted her camera on its branded strap across her chest. The camera didn't work – she had found it at the tip, still in its carry case, defunct – but she had taken to heart a reminiscence of her father's, who in his youth had hitch-hiked all around the country, that no matter how dirty or unshaven he had been,","or how far into the wilderness, or how late the hour, whenever he wore his long-lens camera round his neck, he always got a ride; it was an accessory that seemed to put strangers instinctively at ease. 
60


Riding into Thorndike, she met with no traffic at all. Signs along the roadside warned her that the pass ahead was closed until further notice and advised her to seek an alternative route. It was still before nine, but even in the ordinary quiet of the morning, the town had an eerily abandoned feel. The main street"
"croppings of stone around her to suggest caves and fissures in the ground beneath her feet; little likelihood, then, of a handy water source, at least not this far from the house. She would have to make do with collecting rainwater – acidic, but the limestone would help to counteract that – and, perhaps, with filling tanks of water at the lakeside and driving them up the service road at night. She was wondering how often it rained in Thorndike when she crested yet 
64
another ridge and found herself on the edge of a wide, level terrace – an airstrip, she realised, because at the far end, parked with its nose towards her, was an amphibious four-seater plane.


The sight of the aircraft was so unexpected that Mira leapt at once for the nearest patch of trees; but after crouching in the brush for several minutes, scanning the hillside furtively, she let herself relax. There was nobody around – and the morning had been so still and quiet that she would certainly have heard the engine noise if the plane had landed anytime in the last hour. It","must have been parked there for at least a little while, possibly overnight, or even longer. Had Owen Darvish – or his wife – been learning to fly? But again, this seemed like the kind of humanising detail that would surely have made it to the press – all the more, she thought, shaking her head slightly, because they had given up their house to Search & Rescue following the landslide on the pass.


Mira considered her options. If the plane was in frequent use, then her activities on the farm would need to be invisible from the air as well as from the"
",' Mira said, with a little laugh. 'I'm a location scout. ""Any house with a view of a lake"" is my brief. Been all around the country and haven't found it yet, but that's the nature of the beast. Is that your plane?'


'What do you think?' he said.


'I think it's a pretty nice plane,' Mira said, laughing again. 'Must be magic once you're up above it all. It'd make my job a little easier, one of those.'


He didn't smile. He was staring at her, unblinking, his expression cold. Then he said, very quietly, 'Who do you work for?'


She frowned, pretending consternation. 'My producer was in touch last month,' she said. 'Ben Sharp? He said he cleared it with the farmer. Someone called Darvish, I think it was?'


'Cleared what?' the man said.


'Well, we're just taking photos at this stage,' Mira said. 'No promises. But of course, with the","landslide on the pass, no traffic, nobody around, what better time to make a movie?'


'A movie,' he repeated.


'That's right,' Mira said. 'I can't tell you what it is, unfortunately – non-disclosure, all of that – but it's an international production, quite big, and there are a few names attached already. 
I'm
 excited. And God knows the economy round here could use the boost. What about you? Are you visiting?'


He didn't answer.


'I thought"
"he planned to stay. She didn't even know if it was his plane. In other words, jack, Mira thought, in a spike of furious resentment against herself. She knew jack shit about him, and her cover was well and truly blown.


She had begun to shiver. She got up and unlocked the van, stripping off her sweat-drenched shirt and bra and slipping on a dry merino turtleneck that felt clean and soft against her clammy skin. The touch of the fabric was so restoring that she changed her socks and underwear as well, standing in the cubicle formed by the van's open door. Then she leaned over the passenger seat to plug her phone into the cassette converter and put the key in the ignition to charge it. She suddenly felt ravenous. There was a box of snack bars in the glove box, and by the time the phone's display winked back to life, she had eaten three, and was feeling steady in herself again. She climbed into the driver's seat, typed her pin into the phone, and waited for any messages or emails","to download, but none appeared. Batting away the reflexive despondency that always struck whenever she checked her inbox and found it empty – ridiculous; she had no correspondents anyway – she opened her browser and typed 'Owen Darvish airstrip' into the search field.


It cost a fortune to use the Internet on data, but Mira's pride would not allow her to leave Thorndike without at least a partial understanding of what had happened up at the Darvish farm. In all her years at Birnam Wood she had never met anybody she had so completely failed to"
"his plane climbing up out of the valley, then banking west, over the lake, over the hills, and out of sight.




 




It had taken Robert Lemoine barely twenty minutes to execute the man-in-the-middle attack. He had first sighted Mira when she turned off the highway on to the gravel access road and stashed her bike in the patch of scrub, and had gone at once to his controls; by the time she reached the second gate, he had forced a connection with her phone, accessed her identifying information, obtained her stored encryption key, simulated her over-the-air transmissions, established a connection with the local mast, and then authenticated himself so that from that point forward, he could appear to Mira's service provider as Mira's phone, and to Mira's phone as her service provider. Not only did he now have complete access to her data, both present 
77
and historic, he also had the power to intercept and change her messages in both directions; now, if he wanted, he could both alter what communications she received, and send messages – to anyone – as her. It was","a flawless capture. Had she ventured a little further up the gravel road, she would have come upon the trailer-mounted mobile cell site, fitted with an IMSI-catcher device, that he had used to carry out the operation; had she taken her phone out of her pocket, she might have noticed that it was hotter than usual, and less responsive, and that the battery was draining fast; and had she looked directly overhead at any time while she was exploring the farm, she might have seen, high above her, the dark blur of a surveillance drone"
"umping lixiviant through boreholes drilled directly into the ground risked causing fissures in the bedrock that might precipitate a slip. But he had judged the size of the deposit to be worth the risk, guessing – correctly, as it turned out – that Korowai was close enough to the alpine fault that any accidents his men might cause would 
81
be taken for ordinary seismic activity. Little quakes and rumblings were a daily occurrence in that part of the world, though most were too faint, or too deep, to be felt without equipment. What was more, Thorndike was generally considered to be the back end of Korowai National Park; the vast majority of visitors entered the park from the south-west corner, nearer to Lake Hāwea, where the terrain was more varied and the views more sublime, and even on a good day the Korowai Basin rarely saw more than a dozen or so hikers passing through, mostly in pairs or in family groups of three or four. The site was so remote that Lemoine had assumed – this time incorrectly – that if an accident of some kind were to happen, the fall","out would be fairly easily contained.


He had been in Miami when the landslide happened, and as he'd logged in to the surveillance feed over the pass to see the Search & Rescue helicopters sweeping overhead, and the television vans arriving, and the gazebos going up to assist the first responders and the engineers, he had come very close to cashing in his chips entirely. But in all the news coverage of the disaster, nobody had thought to ask, even rhetorically, if the earthquakes might possibly have been man-made"
"explain himself, for one thing; and it always paid to have some handy pretext for throwing his weight around. This was more a tactic than a strategy – he only truly lost his temper very rarely – but in a way, to remain in tactics 
was
 the strategy. No one got to where he was in life without some instinct for the madman theory of control.


He settled back against the leather headrest and thought again of Mira. It was pure serendipity that they'd encountered one another. Since the Darvishes had left, he'd used the airstrip only a handful of times, some days staying only the few minutes that it took to turn the plane around; he kept a car in their garage, as they'd invited him to do, but today was the first he'd ever driven it, and although he had access to the house in case he ever needed to stay over, to date he'd never even put the key in the front door. He had actually been planning to return to California for a week or two, and had messaged his PA that very morning to tell her to start working on his diary. The PA was new, and","still needed to be broken in; perhaps he'd wait a few days, he thought, before informing her there'd been a change of plan.


At the Lodge, he accessed Mira's browsing history and saw that after he had left her, she had spent the better part of an hour reading up about Autonomo, which had led her, naturally, to the news articles about his wife. She had lingered over these 
86
even longer, switching her search to images, typing in 'Gizela Kazarian', and then clicking back and forth between pictures of the"
"the talk show host, holding up one finger. 'It's the one thing we're really snobby about.'


They were visiting from Auckland. It would be an understatement to say that Lemoine was not typically in the habit of fraternising with the locals, but political alignment was part of his disguise, and he had learned, within minutes of making their acquaintance at the golf club, that the talk show host had recently been suspended from the air following some violation of broadcast standards, and that the wife had resigned in solidarity as his producer. Following a very public row about offence and overreach – Lemoine hadn't cared enough to be able to recall the details – they had decided to turn the period of enforced time off into a holiday, and they had the defiant, mildly aggressive air of two people now determined to enjoy themselves at any cost. They had told him, standing on the seventh green, that they had begun incubating an idea to establish a right-wing media platform in New Zealand, of the kind 
90
that was enjoying such runaway success elsewhere, and before","Lemoine had time to comment, they'd added, without even an attempt at subtlety, that, in actual fact, they were on the hunt for an investor. This was not at all Lemoine's usual mode of doing business, but he had his disguise to think about, and as a libertarian survivalist, he could hardly find anyone more sympathetic to his existence than a nihilistic shock jock with a fragile ego and an axe to grind. What the hell, he'd thought, and had suggested that they get to know each other"
"ens in neglected spaces and fostered a commitment to helping those in need. As she posted that week's Top Tip for Gardeners – bigger isn't always better when choosing seedlings from a garden store! – she wondered if a part of her had always 
94
known, deep down, that she would one day want to leave the group. Maybe, on some level, she had curated the page specifically with her current circumstance in mind – namely, in order to provide future employers with a coherent explanation for what Mira, in a cartoonish imitation of Shelley's mother, had once called the lost years of her career.


Over a fortnight passed without Mira making any mention of when she was planning to return. Their messages were brief and breezy, Shelley not wanting to give Mira any reason to cut short her trip, and Mira still mindful, clearly, of Shelley's need for space: she'd barely described the site at Thorndike, except to say that the town was very quiet and conditions were ideal, and although the date of Birnam Wood's next full-caucus hui was fast approaching –","the group met quarterly, on the first Monday night of every February, May, August, and November – they both steered well clear of the subject. Late on the first Sunday night of August, Shelley was getting ready for bed and reflecting on the fact that the impending hui might well be the first that Mira had ever missed, when she received a text: Mira had 'big news' and was heading home first thing in the morning in order to make an announcement to the group the following night. '???' Shelley messaged back, and a few seconds later the reply came through: '"
"dug the sawdust through the heap, and she checked her phone to find a message waiting from Mira. The van had broken down a little south of Timaru. She'd had to call roadside rescue, and she was now waiting for a mechanic to determine whether the problem was fixable within the next few hours. If worse came to worst and she didn't make it back in time for the hui, she'd call and relay her announcement over the phone – but she'd much prefer to break the news to Birnam Wood in person if she could. She sounded harried, and Shelley hesitated for several minutes over what to reply. She typed out an experimental message: 'okay, crazy-tony gallo's back in town- he stopped by the flat a while back looking for you, not sure if he'll come tonight but just fyi i just realised he's still on the mailing list so it's conceivable he might show up … anyway fingers crossed the van gets fixed, let me know how you get on xx'. She stared at it, chewing her lip, for a long time before pressing delete. Tony hadn't R","SVP'd, and among the thirty-odd members who now had, the only people who had any connection to him whatsoever were Amber, who had never much liked him, and Fink, whom he'd never much liked. In all probability, he wasn't coming, and there was no need to warn Mira in advance. 'bummer,' Shelley wrote instead, 'hope it's fixable … keep in touch xx'. 
99


She passed the rest of the afternoon preparing sets of peas and lettuces – for the last few days she had"
", and instead we took the 
relationship
 as the base socio-economic unit? The relationships, the bonds, the connections – they're just as basic to any system as the actual individuals, the actual data. Right? And in relationships, we do all sorts of things that radically challenge the neoliberal status quo: we make sacrifices, we put the other person first, we learn to compromise, we care, we help, we listen, we give ourselves away – and fundamentally, those are different kinds of sacrifices to the kind that are all about self-discipline and following a regime. They're not individualistic; they're 
mutual
. Like, all the stuff that you were saying before, stopping eating meat, flying less, shopping local, I mean, all power to you, for sure, but there's something so puritanical about it, like, it's a programme of asceticism, always being strict and consistent and never being lazy or whatever – and at the end of the day it's still about you as an individual. 
Your
 purity, 
your
 moral conscience, the sacrific","es 
you've
 made.'


'But you can't force people—'


'There's something so 
joyless
 about the left these days,' Tony continued, 'so forbidding and self-denying. And 
policing.
 No 
103
one's having any fun, we're all just sitting around scolding each other for doing too much or not enough – and it's like, what kind of vision for the future is that? Where's the hope? Where's the humanity? We"
"s brand management. That's my point. 
We're still inside the fucking paradigm!'


He looked around, seeking agreement, but the mood had turned decisively against him; Shelley could sense it, and she could tell that Tony could, too. They made eye contact for the first time that evening, and she felt, to her surprise, a surge of pity for him. His face was very flushed, and he had a wild, almost forsaken look, as though he were on the verge of breaking something that he knew he didn't have the means to fix.


'Um, just so I'm clear,' Amber said, 'you're saying that 
intersectionality
 is 
bullshit?'


'Oh, come on,' Tony said, disgustedly. 'Don't do that.'


'Don't do what?'


'Don't make out like I've stabbed you in the fucking heart, just because—'


'Oh my God,' Amber said. 'This is not about 
me
, Tony","—'


'Yes, it is,' Tony interrupted. 'Of course it is. You're getting offended. You're making a big performance out of how unbelievably offended you are. It's not a debate. It's not an argument. It's just another way for you to pull the identity card. It's the same old shit.'


Next to him, Finn was shifting in his seat uncomfortably. 'Hey, man,' he said quietly to Tony, 'read the room, maybe?'


'I 
"
"such a 
novelty
 to be lectured at for literally half an hour by a straight white—'


'I just don't think that intersectionality is the answer to the problem!'


'Well, you know who else thinks that? Fucking white supremacists, Tony!'


'Look, clearly this is a touchy subject—'


'
That's
 fucking patronising—'


'But I'm not just being a dick, all right? I'm not just name-dropping and being a cliché. I've actually got ideas. I'm actually proposing an alternative.'


'Yeah, well, maybe you don't get to do that any more!'


'But that's so crazy,' Tony said. 'What kind of a solution is that? You can't just tell me to shut up—'


'I'm not telling you to 
shut up,
 I'm telling you to 
listen.
 There's a difference.'


Several people broke into applause.

","
'But listen to 
what?
' Tony said, starting to laugh. 'Can't you see what you're doing? That's not an argument!'


'Yes, it is!'


'It's not! It's just your fallback position. You say 
listen
, yeah, sounds great, awesome, but listen to 
what?
 You haven't got any actual 
ideas
. All you have is your identity. All you have is your brand. You're just trying to promote yourself. Do you honestly not see"
"another conversation about actual proper long-term funding and how to grow and what steps to take and all of that. But whatever happens, the hundred grand would be ours to keep.


'I know it sounds mad,' she went on, now addressing Shelley, 'I mean, honestly, it kind of does to me as well, but he's, like, really, really rich, like, 
really
 rich – and I think he's, like, one of those people whose self-mythology is all about spotting enterprising young people and making their careers – like, he sees himself as this rebel, and when he found out about us, it was like, hey, one rebel to another. And I know,' she added, talking faster, and looking apologetically round the room, 'rich American buying a bolthole in New Zealand, I mean, it's not exactly the kind of bedfellow any of us would choose, and he's totally one of those apocalypse preppers or survivalists or whatever you call them, you know, like, he got his pilot's licence, he has a plane",", he's bought this farm, like, totally off the radar, and he's even putting in a bunker, so, full cliché – but for what it's worth, he's invested in this conservation project up north, so his heart's at least kind of in the right place, and I've talked to him a bunch over the past couple of weeks and I don't think he's an entirely bad guy.'


'Who is he?' someone asked, but Katie put out her hand to shush them: asking clarifying questions was a part"
"she said. 'When I was down there, I just lived out of the van.'


'So we might have to sort out a composting toilet or something?'


'Yeah, something like that.'


'How do you know he's good for the money – I mean, the rest of it?'


'What's the conservation project he's involved in?'


'There's no chance you'd be taxed on the money, is there? Down the line?'


'How did you actually meet him?'


'Yeah – how did this even come up?'


Shelley hardly followed the discussion. She kept her eyes on Mira, the feeling of wonderment huge in her chest and in her lungs. Tony asked no more questions and made no further movement at all. When the conversation turned to objections and concerns, there was a loaded pause, everybody clearly expecting that he would be the first to speak. He must have sensed it, for without looking up, he said, very quietly, 'It's blood money.'


This time Mira didn't try to argue with","him. 'How?' she said, with barely repressed impatience.


'Drones are weapons of terror,' Tony said, counting on his fingers. 'Mass surveillance is totalitarian and oppressive. The billionaire class undermines solidarity by its very existence; it's fundamentally unsustainable, it's regressive, and it's unjust. Citizenship should not be able to be bought and sold. Protest 
119
action should not be able to be 
commissioned.
 Jesus,"
