prefix,suffix
", so delicious to silverfish, is largely eaten away. He spreads it out over both their laps. The writing is faded. A few more years and these papers will be just dust.
A tree. The thick, dark trunk is crooked, and on the branches are a few leaves. The leaves have names, dates, annotations. She recalls a similar genealogy drawn by her father. She'd sat on his lap as he explained. ""Matthew gives us the genealogy of Jesus beginning with Abraham. Fourteen generations to David, then fourteen from David to the Babylonian Captivity, and another fourteen from the exile to the birth of Jesus."" Her father was convinced Matthew had omitted two generations. ""He was a tax collector. He liked the symmetry of fourteen repeated thrice. But it's inaccurate!""
The tree on her lap lacks symmetry and is devastatingly accurate. She understands at once that it is a catalog of the malady that has shattered the Parambil family, but unlike Matthew's gospel, this is a secret document, hidden in the rafters, to be viewed only by","family members, and only when they absolutely must see it. Did it take the loss of their son for her to earn the right to this knowledge? She's had a child with this man! They are bound by blood, yet he kept this from her.
She brings the lamp as close as she dares. Surely this fresher writing that recorded JoJo's birth must be JoJo's mother's—why was she allowed to see this? Did she already know of the Condition and ask? Other hands, some old and tremulous, as evidenced by the hitches in"
"over Glasgow and away. He'll make her smile. He'll make her proud.
On Wednesdays, the two of them have a midweek treat: tea at Gallowgate. Digby waits for her and thousands of ""Singers"" to pour out of the factory at the end of the shift. The Proddies will emerge first. Catholics like his mother come after; they are the lowest paid and do the roughest jobs. Her supervisor is a Proddy and a Rangers supporter, of course. Glasgow, like most Scottish cities, is violently split by religion. His grandparents were in the Irish wave that came after the Famine, turning the East End into a Catholic bastion (and the home of the Celtic football team).
Digby loves to stare up at the square clock tower that stands six stories high. The factory buildings extend on either side of it like trains a mile long. Each face of the tower, which is Glasgow's most famous landmark, has a massive clock weighing two tons, with SINGER in giant letters above each dial, visible from anywhere in the city. Digby could spell SINGER before he could","write his name. Standing this close and looking up, Digby feels he's in the presence of God, whose name is SINGER. God has his own trains and railway station to run parts from the foundry to Helensburgh, Dumbarton, or Glasgow. God churns out a million sewing machines a year and employs fifteen thousand people. God lets his mother splurge on drawing paper and watercolors for Digby. God allowed his mother and him to move out from Nana's and live on their own, and be silly and loud and have jam with their tea every"
", no angles; she reminds Digby of a bulldog, and has the moist, sagging eyes to match. From their first day she took command of their table, acting like a stateroom passenger choosing to dine with the masses out of her largesse. Listening to her hold forth, as he has every night, Digby is reminded of his three-month posting at Saint Bart's Hospital in London—the prize for a medal exam he topped in Glasgow in his third year of medical school. Until he got onto the Bart's wards, he wasn't aware that he had an accent, or that it made others assume that he was provincial and stupid. It was a rude awakening. He couldn't shed the accent entirely but one could soften it; he had worked hard to stay clear of those words or phrases or pronunciations that typecast him. Not that such efforts have fooled Mrs. Simmonds, who largely ignores him. Now he overhears her say to the diner across from her, ""We English know what's best for India. When you get there, you'll see.""
Later that night, Dig","by strolls the deck with Banny. Despite the bond they've formed, they haven't discussed politics. Digby confesses his ignorance of the world outside of Glasgow, or even outside of the hospital. ""I lived in the infirmary these last few years. I had no cause to read a newspaper unless it appeared under a wound dressing, or in a belly I was opening."" He's been making up for it by studying the papers in the ship's library. The headlines are about Germany's intention to rearm despite the Treaty of Versailles. A bell"
"Digby what he's missing. ""I don't care for LMPs. I'd rather have a real doctor than a babu impersonation."" Digby knows that Licentiate Medical Practitioners pass an abbreviated two-year diploma course and can practice medicine. ""But it's India, you know. Can't do without them, or so they tell us.""
Arnold stops at the male native ward. ""Where's Matron Honorine?"" he asks irritably of the brown-skinned nurse who rushes to greet them with a ready smile. Matron is gone to the pharmacy.
Patients occupy the beds on either side of a long, high-­ceilinged room, and others lie on mats between the beds. Outside is a covered porch with more patients on mats. A man with a grotesquely swollen belly, and a hollowed face that emphasizes his cheekbones, sits on the edge of a bed, his stick arms propping him up. Meeting Digby's gaze, he smiles, but his face is so","wasted that he appears to bare his teeth. Digby nods. The sight of suffering is familiar; its language transcends all borders. The native female ward is across the hallway, and it too is full.
Dr. Claude Arnold's Anglo-Indian ward currently is populated by one patient, plus a lone probationer presiding over him. The other carefully made beds all stand empty. Arnold doesn't take Digby to the British ward. The latter, he will learn later, is a collection of six private rooms on the upper floor, all unoccupied."
"bowel: ""If it looks all right, it's too tight. If it looks too loose, it's all right."" The results are dramatic, with patients quickly pain-free and able to eat. On theater days he'll speed through three of these operations before he gets to anything else.
One of his peptic ulcer patients on the fourth post-op day hasn't recovered bowel function. Digby says to Krishnan, ""I don't understand. The surgery went well, and his pulse and temperature are fine, the wound is good. Why are his bowels so silent?""
""Maybe he needs you to reassure him, sir. Say it with full feeling. I will translate.""
A skeptical Digby squats by the bed. ""Senthil, we cured the ulcer. Everything looks perfect inside you."" The man's eyes are on Digby's lips, ignoring Krishnan, as if the Tamil comes off Digby's tongue. ""Soon you can eat anything."" Senthil looks relieved; his wife tries to touch Digby's feet. Digby feels quite silly.
At the end","of the day, while Digby, Peter, Krishnan, and Honorine take tea in her office, the probationer pokes her head in to say, ""Matron! Patient Senthil is passing flatus only!""
""Praise the Lord,"" says Honorine. ""He who farts, lives!""
Digby coughs out his tea.
Arnold is rarely to be seen and his wards are largely empty. When he and Matron are alone at the end of a long day, seated in her office and resting their feet, Digby cannot stop himself from"
"Digby's shoulder at someone in what sounds like coarse and vulgar Tamil, his smile fading. ""Impatient people!"" he says, the smile slowly returning. ""Always rushing. I am so behind that yesterday catches up with tomorrow. Anyway, Digby, if saintly Honorine likes you, then I am liking too. Come. My first case is a stomach resection for a likely gastric cancer. If it's not too far gone.""
In the theater, Digby assists, anticipating Ravichandran's movements, yet careful not to get in the way. There's a rock-hard mass in the antrum, just above the pylorus where the stomach empties, a location where even a small tumor comes quickly to a patient's attention because they feel full after a few bites. Ravi runs his hand over the surface of the liver, then pulls out the small bowel, all twenty feet of it, feeding it through his hands, looking for metastasis. Then he inspects the pelvis. ""No spread. We'll do a distal gastrectomy",". Switch sides. I will be your humble servant."" Digby cuts out half of the stomach. Having Ravichandran as his skilled assistant, subtly improving his view and access, makes Digby feel like a far better surgeon than he really is. When he's done, they're left with a stump of the duodenum—into which bile and pancreatic juice pour—and the stump of the stomach remnant.
""What now, my young friend?""
""I'll sew off the duodenum, leaving a blind"
"tiny trading post, the forerunner to the East India Trading Company. By the 1600s, the depot needed a military fort—Fort Saint George—to store the spices, silk, jewelry, and tea bound for home, and to keep these goods out of the hands of local warlords, and the French, and the Dutch. The city of Madras blossomed on either side of the fort. Digby is becoming more familiar with the city, exploring it by bicycle, and puzzling out its neighborhoods. The old ""Blacktown"" near the fort changed its name to Georgetown when the Prince of Wales came to visit. Anglo-­Indians cluster in Purasawalkam and Vepery, while foreigners choose Egmore or the fancier suburbs of Nungambakkam. The Brahmin enclave is Mylapore, while the Muslim population is concentrated in the vicinity of Gosha Hospital and Triplicane. He and Honorine have arrived at Madras Marina, conceived of by a former governor with the improbable name of Mountstuart Elphinstone","Grant Duff. The grand promenade runs for miles in either direction.
Along the marina and facing the sea is a succession of massive edifices, built for the ages. Freed by distance from the constraints of Whitehall, it appears to Digby that the architects indulged their Oriental fantasies, building these sculpted temples to the Empire. He and Honorine dismount by the University Senate Building. Its tall minarets appear to have mated and given birth to a brood of junior spires all crowned with snowcaps. Digby sees Renaissance, Byzantine, Muslim"
"phies and framed pictures of two boys at various ages, lately as teenagers. A bearer proffers whisky; Digby takes a napkin instead. He slips into the dining room to discreetly mop his face and neck; he feels shabby and out of place. The heavy oak dining table, the goblets and metal plate holders evoke for him the knights of King Arthur. His back to the festivities, Digby stands before three large, framed landscapes, still sweating energetically. He's angry at himself for being here.
Right, Digs. In two minutes ye'll dive right back in amongst them, shake the bastard's hand, wish him the merriest o' merry Christmases and, since you won't see him in hospital before the bells o' Hogmanay, top it off with an all the best for auld lang syne an' a guid new year tae him and his. But cool off first, Digs, mop that brow and get in behind that collar. Admire his fancy painting—pasture, is it Claude?","Say ""very nice"" to his pathetic wee lake with its wildflowers. No, no one ever thought of that critique before. And this last painting . . . a dark forest, he says? A dark . . . midden, says I. They're rubbish, thank you very much. Fancy, gilded frames that cry ""We belong in a museum"" . . . but rubbish they are, and rubbish they'll aye be. No matter how loud anyone cries . . .
""They're not much, are they?"" a husky female"
"nominally a Triumph, but Owen admits that the fuel tank, the handlebars, the front fork, the engine mount, the chassis, the exhaust, and the wooden sidecar have all been fabricated in the Perambur Railway shed, so she is technically part locomotive. Only the single-cylinder engine is original. ""She's standoffish till you know her,"" Owen admits. ""But she'll be loyal to you like nobody's business. I love her so much that I'll be your mechanic for life. Promise."" With Owen in the sidecar, instructing, Digby gets Esmeralda going and circles the enclave. By the time they return he's smitten. ""She's like family, Digby. If I didn't have my car now, I'd keep her. You saw my car? A beauty, no? Need to get it painted.""
They must stay for dinner, ""no question about it."" Honorine is seated next to a broad-shouldered young man in pressed black trousers and a spotless blue shirt, his cuffs rolled high enough above his elbows","to display thick biceps. Jennifer introduces him as her brother Jeb. He's fairer than his sister, with light brown hair. He clasps Digby's hand in a powerful grip and says, ""Doc, my brother-in-law must like you to part with Esmeralda.""
Owen says, ""Doc, you're shaking hands with a future Olympian, mark my words. If Jeb doesn't make our hockey team then I don't know what's bloody what.""
""Don't jinx it, for Christ's"
"otees above all else. Without love of their subject, they'd just be cutting stone; their adoration is what brings it to life. She feels her face flushing. Digby's an innocent, but he's skilled in the female form from hours of careful regard along with the macabre intimacy afforded his profession.
Digby looks on anxiously. ""I like it,"" she says, sounding like someone she barely knows. ""You have a gift . . ."" Has Claude ever come close to paying her this kind of a tribute? She's overcome by a desperate urge to break free of her present life.
""Escape,"" she hears Digby say, as though he's reading her mind.
She blushes again. ""I beg your pardon?""
""It's an escape. Not a gift. As a boy, I'd draw worlds that I imagined were happier than mine. Faces. Postures. Exactly what I'm seeing here.""
Did the desire to create come with the desire to take apart? To put back together again? ""Escaping what, Digby?""
His","features become as still as sandstone. It's as if she touched the scar again. At last he says, in too bright a voice that deflects further probing, ""They weren't shy about the body, were they? That comes across. They were comfortable in their own skin."" He looks directly at her.
She nods. ""Very true. I visited the Khajuraho temples up north with my ayah, Janaki. Astonishing sculptures of intimate couples, courtesans . . . well, let's say nothing is left to the imagination"
"a jet of blood, a bright arterial spray, strikes Claude in the head. He springs back, stunned, but doesn't move fast enough because on the next beat it catches him again, a surging spout, timed to every beat of Jeb's heart.
Claude knocks over a stool in his retreat. Digby steps forward, grabbing surgical towels with his ungloved hands to put pressure on the aneurysm, because that is indeed what this is: a focal weakening of the carotid artery wall. Honorine lets her mask drop and steps up to help.
Claude's cut is so long and deep that compression doesn't stanch the breach in the dyke. The pads turn red, as do Digby's fingers; blood drips off the table and pools on the floor. Digby calls for a suture on a needle holder. Already, Jeb's face has turned a ghostly white. When Digby pulls the towels away, blood is pumping less vigorously from the ragged tear. He stitches","the vessel crudely, but by then Jeb's heart has stopped because there's no longer enough blood to pump. The patient has exsanguinated. Jeb's eyes are half open and Digby feels their gaze is fixed on him as if to ask, Why did you let him do it?
The sound of the stool crashing to the floor has summoned everyone within earshot. A small crowd stands in the theater studying the grisly tableau. ""Well, I'll be damned!"" Claude says from six feet back, breaking the long hush"
"Service, and two distinguished surgical professors from the Bombay and Calcutta Medical Colleges. The date is set two months hence. The commission can call witnesses; its conclusion will be binding.
For the next few days, they go about their separate lives. If Celeste feels on edge, she can only imagine how Claude feels. He spends long hours at the club despite being the subject of gossip there. Perhaps staying home and facing her feels worse; at the club he finds refuge in some dark nook, either alone or with drinking mates too anesthetized to judge him harshly.
At the end of that week when she returns home in the late afternoon, she's surprised to see Claude there. He comes to his feet graciously. Before she can pull off her bonnet, he sends for her tea. He is well into the gin.
""Darling,"" Claude says, ""this hearing is coming up soon."" She says nothing, her hands very still in her lap. ""It's political, you know. Bad things happen in surgery, after all. I'm hopeful I'll prevail. I have a plan."" He smiles bright","ly. One must have faith. One must never give up.
There are bags under his eyes that are new. The fine arbor of capillaries on his cheeks and nose are more prominent. She might pity him if he showed remorse, or didn't try so hard to conceal his fear.
""The thing is, darling, this could go badly. That is, if your friend Digby decides to malign me.""
""He's your colleague, Claude,"" she says, annoyed. ""I took him once to Mahabalipuram ages ago and"
"marriage that only briefly knew this intimacy. Digby's touch is a drug; his freshness, his eagerness make it all the more potent. Their escalating need for each other is a sand sculpture that they shape together. She doesn't recognize the brazen, demanding woman who commands her young lover, rolling him this way and that, even biting him in her passion.
But in the aftermath of lovemaking the sculpture collapses. The world and its agonies recall themselves. Sooner or later, she must sit down to the meal of consequences. On rubber legs, she rises and dresses. Digby lies on the bed, watching her, his eyes begging her to never leave, to stay forever. They don't utter her husband's name. They hardly speak. He doesn't ask when he will see her again.
Soon, they become reckless. On the days she cannot come, he thinks he'll go mad. His restlessness drives him to the Adyar Club to play tennis, a recent obsession. The Madras Club is Claude's hangout. It is in the Adyar Club",", after returning from the courts, that he finds the letter someone placed in the trousers he left in the locker room.
Kilgour: Please forgive this method of conveying certain information to you. You can make of this what you will. It is common knowledge that your testimony could damn Claude Arnold, and this writer will shed no tears for him. But you should know that Arnold plans to file for divorce and name you as a co-respondent. It is of course absurd. Nevertheless, by naming you, Arnold makes your testimony suspect. There is no reason to believe"
"grieve him, but she is also a miracle of physiology, a magnificent body housing its constellation of organs under the confines of her skin. Compared to their messy, roiling emotions, the body is always steadfast, reassuring.
He dips his index finger in the undiluted paint on his palette: Rose Madder Genuine. Celeste draws in her breath as his finger hovers over her chest. Her eyes become wide. Will he do it? She sighs when the finger touches her. Yes, he will. He will trace out her organs, working slowly to postpone the inevitable—that she will leave him. He outlines the left ventricle, peeking out from behind her breastbone and reaching her nipple. Should he have used yellow? Her traitor's heart? No, that's too harsh. Besides, for all its metaphorical freight, a heart is a singularly unimaginative organ, two pumps in a series, one pushing blood through the lungs and the other through the rest of the body. Hers is no different from his.
","She could resist if she chose to, but she does not, caught up in his worship, aware of the pain she has caused him and relieved to move past words. She sips from her glass, watching him. He outlines the arch of the aorta. Now he takes the glass from her and lays her gently on the tarpaulin on the floor, smiling. He rests the pallet on her pelvis, on the mons veneris, where it wobbles precariously. The candlelight shivers across her skin. He outlines the liver, high on"
"hours on one verandah bench that she has made her own. From there she reveals a strange ability to announce the arrival of visitors before they have come into view. ""Here comes Shamuel!"" she might say, and they see nobody, but three minutes later, Shamuel will arrive. Her mother finds it remarkable that Baby Mol rarely cries. The only time she recalls her crying was that one terrible day when she keened till she turned blue, the day when Big Ammachi had wished . . . It is best not to recall what she wished. She understands that violent loss begets more violence.
During the monsoon that year they all take ill with fever. The hearth fire stays cold for one whole day because there's no one to attend to it. Her mother is the last to recover: she's always tired, sleeping early, and only rising when the sun is high overhead. Rising from her mat is an effort, and her hair is unkempt because her arms fatigue in the act of combing. When her mother does eventually appear in the kitchen, she's listless, too weak to help. Most alarming is that her mother's","stream of chatter is silenced. They send for the vaidyan, who takes her mother's pulse and examines her tongue, then prescribes his usual massage oils and tonics, but they don't help. She's getting worse. Moreover, her daughter has her hands full, trying to care for her and run the household.
Blessings come in many shapes and sizes, but the one that arrives around the Onam festival happens to be of the bow-legged variety. Baby Mol announces her arrival—""an old lady is coming""—minutes before the"
". Like those first humans of Norse mythology, Rune quickly found his legs, and they carried him to food, shelter, drink, women, and raucous company. With his giant girth and his booming baritone, the first impression of the newly arrived blond, bearded foreigner was of an oracle, the sort of man who in apostolic robes, carrying a staff, could have stepped off a dhow alongside that other apostle, Saint Thomas. His arrival is clouded in almost as much myth as that of Saint Thomas. What is known is that South India was the last stop on a journey that began in Stockholm. According to the good doctor, one night, full of akvavit and ""singing to myself on Stora Nygatan, I was abducted. When I woke up I was a ship's physician on a vessel bound for Cape Town!"" That occupation took him to all the major ports of the Orient and Africa. But, in his midthirties, he disembarked in Cochin. The beauty of the cluster of islands forming a city at the confluence of myriad waterways; the warmth of its people; its tem","ples; its churches, basilicas, and synagogues; and the cobblestone Dutch colonial streets and houses led the big Swede to drop anchor for good. Soon after settling in, he commenced the study of Malayalam with one tutor and the study of the Vedas, the Ramayana, and the Bhagavad Gita with another. His appetite for knowledge was matched by one for toddy and female companionship, a cocktail of desires that would sink most physicians.
For most Westerners, Malayalam's rolling"
"That night in her prayers, she says, ""You knew all these things, Lord. What is there for me to tell You? Before my mother was born and before Baby Mol was born You knew what was written on their foreheads."" She knows she must thank God for the few good years she's had with her mother. But not tonight. It wouldn't be heartfelt. ""I pray You keep her from suffering. She has had enough of that in this life already.""
She prays too for the kind doctor. How gifted he is to know in an instant what ailed Baby Mol, and then to see that something was very wrong with her mother. Yet, despite being able to name these disorders, he could offer no treatment. In that sense, the annoying vaidyan, with his one tonic for every malady, could argue that he was no worse. But the vaidyan knows nothing. ""Lord, that doctor knew everything . . . but he didn't know about the Condition. I beseech You once more: If You won't heal the Condition, please send us someone who can.""
Rune locks up the clinic at midnight",". He started seeing outpatients late that evening because of two back-to-back emergency operations. It has been ten years since Mrs. Eleanor Shaw changed his fortunes. On his ambling walk home along the rocky shoreline of Fort Cochin, usually with a book under his arm, it is his custom, weather permitting, to smoke one last pipe on a cement bench that looks out over the sea, and to savor the breeze. The waves celebrate their long voyage with a final splash on the rocks. The moon hangs low like a lantern,"
"her out before she could say goodbye to her children. She cackles at this memory, a solitary tooth flashing in her mouth like a lone tree in a cemetery. Sankar joins in.
Rune puzzles over their strange laughter. The mind must get scarred from being rejected in this manner. These two have died to their loved ones and to society, and that wound is greater than the collapsing nose, the hideous face, or the loss of fingers. Leprosy deadens the nerves and is therefore painless; the real wound of leprosy, and the only pain they feel, is that of exile.
That's the purpose of a lazaretto, Rune thinks. A home at the end of the world. A place where the dead can live with their own kind and where the spirit might rise. He stares at his blistered hands. The thumb alone would prove the existence of God. A working hand is a miracle; his are capable of removing a kidney or stacking bricks. Lord, what if I lose my use of them? Rune was taught that leprosy is rarely contagious. The","causative bacterium lives in the environment, more so in unclean settings, but only those with unique susceptibility get the disease. He recalls Professor Mehr in Malmö dressing leprous wounds with impunity, saying, ""Worry about other diseases you might get from your patients, not leprosy."" Indeed, Rune lost one classmate to tuberculosis, and another to sepsis from a scalpel cut. In his head Rune now debates Professor Mehr. What about Father Damien, serving all those years with lepers on Molokai?"
